Bill Id,Product Name,Count,Tax,Unit Price,Subtotal
318,GOL MEGA AREQUIPE 53GR,1,415.0,2184.87,2184.87
318,ROTHMANS BLANCO X20,1,1245.0,6554.62,6554.62
318,CANASTICAS 45GR,1,239.0,1260.5,1260.5
318,BONYURT 170GR,1,687.0,3613.45,3613.45
318,JET CREMA 18 G,1,415.0,2184.87,2184.87
318,VIVE 380ML,1,447.0,2352.94,2352.94
318,EMPANADAS,1,0.0,3000.0,3000.0
318,AROMATICA TOSH X 20UND,1,1565.0,8235.29,8235.29
318,LATTE 9 OZ,1,0.0,3000.0,3000.0
318,EMPANADAS,1,0.0,3000.0,3000.0
318,HALLS BARRA 25 GR,1,351.0,1848.74,1848.74
318,AGUA CIELO LITRO,1,0.0,2200.0,2200.0
318,CERVEZA CLUB COLOMBIA 330 ML,2,1213.0,3193.28,6386.56
318,HALLS BARRA 25 GR,1,351.0,1848.74,1848.74
318,QUATRO FLEXI 400 ML,1,415.0,2184.87,2184.87
318,MANIMOTO SAL 23GR,1,192.0,1008.4,1008.4
318,PASTELES. PALITOS,1,0.0,3500.0,3500.0
318,HALLS BARRA 25 GR,1,351.0,1848.74,1848.74
318,COCA COLA SIN AZUCAR 400ML,1,415.0,2184.87,2184.87
318,EMPANADAS,2,0.0,3000.0,6000.0
318,COCA COLA FLEXI 400 ML,1,495.0,2605.04,2605.04
318,CHEETOS FLAMING HOT 75GR,1,559.0,2941.18,2941.18
318,RAFAELLO UNIDAD,1,0.0,1900.0,1900.0
318,EMPANADAS,2,0.0,3000.0,6000.0
318,CAPUCHINO 7 OZ,1,0.0,3000.0,3000.0
318,TRIDENT 10 GR,1,319.0,1680.67,1680.67
318,MENTA CHAO LÍNEA,1,96.0,504.2,504.2
318,JUGO DEL VALLE SABORES 500 ML,1,463.0,2436.97,2436.97
318,TRULULU CHOCOLORES 30GR,1,239.0,1260.5,1260.5
318,EMPANADAS,1,0.0,3000.0,3000.0
318,GOL 31 GR,1,287.0,1512.61,1512.61
318,LATTE 9 OZ,1,0.0,3000.0,3000.0
318,HABAS MIX LA ESPECIAL 35GR,1,367.0,1932.77,1932.77
318,SAVILOE 320ML,1,447.0,2352.94,2352.94
318,SAVILOE 320ML,1,447.0,2352.94,2352.94
318,PASTELES. PALITOS,1,0.0,3500.0,3500.0
318,EMPANADAS,1,0.0,3000.0,3000.0
318,VIVE 380ML,1,447.0,2352.94,2352.94
318,NECTAR FRUTTO 300ML,36,13755.24,2011.0,72396.0
318,BONYURT 170GR,50,26742.88,2815.04,140752.0
319,REGENERIS ALPINA 150GR,12,4917.96,2157.0,25884.0
319,SOKA 237 ML,18,4309.01,1259.9444,22678.999200000002
319,YOGURT FINESSE 150G,12,4448.47,1951.0833,23412.9996
319,FINESSE MUSLI 170 GR,6,3456.48,3032.0,18192.0
319,YOGURT GRIEGO ALPINA 150G,30,20354.7,3571.0,107130.0
319,YOGURT GRIEGO ALPINA 150G,10,6750.7,3553.0,35530.0
319,YOGURT GRIEGO ALPINA 150G,10,6784.9,3571.0,35710.0
319,KUMIS NATURAL 200 GR,12,4263.6,1870.0,22440.0
319,PONKY 33 GR,1,271.0,1428.57,1428.57
319,TODO RICO BBQ 45GR,1,479.0,2521.01,2521.01
319,YOGO YOGO 150GR,1,335.0,1764.71,1764.71
319,PASTELES. PALITOS,1,0.0,3500.0,3500.0
319,COCACOLA 600ML,1,639.0,3361.34,3361.34
319,AGUA VIDA 1LT,1,0.0,2800.0,2800.0
319,CAPUCHINO 7 OZ,1,0.0,3000.0,3000.0
319,EMPANADAS,2,0.0,3000.0,6000.0
319,CHOCLITOS 27 GR,2,511.0,1344.54,2689.08
319,NECTAR CAJITA 200ML,1,447.0,2352.94,2352.94
319,GELATINA BOGGY 108GR,1,351.0,1848.74,1848.74
319,GALLETAS CHOKIS 40 GR,1,287.0,1512.61,1512.61
319,ALPIN CAJA 200 ML,1,559.0,2941.18,2941.18
319,EMPANADAS,1,0.0,3000.0,3000.0
319,CHICHARRON DON CHICHARRON 35GR,1,236.0,4714.29,4714.29
319,PASTELES. PALITOS,2,0.0,3500.0,7000.0
319,SPEED MAX 269ML,1,287.0,1512.61,1512.61
319,CHICHARRON DON CHICHARRON 35GR,1,236.0,4714.29,4714.29
